id,ownerId,name,isBanned,isDeleted
1835d1f33d69,1,ubuntuMock,0,0
0e229ed5ff48,2,0e229ed5ff48,0,0
baccba1a1d41,4,Galaxy-A12,0,0
c2666a2b23c9,6,Arthur iphone,0,0
a05950244cdf,7,SA-PF3V1NH5,0,0
38beab56d000,8,107951555,0,0
38beab573d81,9,107954087,0,0
2247a65f954b,10,Gisele phone,0,0
60dd8eb99c31,6,Arthur ipad,0,0
e60f6f7a95e6,28,e60f6f7a95e6,0,0
00f36155dab3,29,00f36155dab3,0,0
90486c0bc77c,30,RingDoorbell-7c,0,0
f020ff96c3a0,31,UKL-0913,0,0
8c1759d0d9c3,32,8c1759d0d9c3,0,0
200bcfeab9d7,34,200bcfeab9d7,0,0
c6f3ab59443e,10,Gisele ipad,0,0
0a7b40b80785,51,Eddie ipad,0,0
